group,year,cpi_index_2014base,yoy_pct
Bread & cereal,2014,100,
Bread & cereal,2015,101,1.0
Bread & cereal,2016,102,1.0
Bread & cereal,2017,103,1.0
Bread & cereal,2018,104,1.0
Bread & cereal,2019,105,1.0
Bread & cereal,2020,106,1.0
Bread & cereal,2021,110,3.8
Bread & cereal,2022,119,8.2
Bread & cereal,2023,128,7.6
Bread & cereal,2024,133,3.9
Bread & cereal,2025,136,2.3
Dairy & related,2014,100,
Dairy & related,2015,99,-1.0
Dairy & related,2016,98,-1.0
Dairy & related,2017,100,2.0
Dairy & related,2018,101,1.0
Dairy & related,2019,102,1.0
Dairy & related,2020,104,2.0
Dairy & related,2021,108,3.8
Dairy & related,2022,118,9.3
Dairy & related,2023,127,7.6
Dairy & related,2024,131,3.1
Dairy & related,2025,133,1.5
Food (all groups),2014,100,
Food (all groups),2015,101,1.0
Food (all groups),2016,101,0.0
Food (all groups),2017,103,2.0
Food (all groups),2018,104,1.0
Food (all groups),2019,105,1.0
Food (all groups),2020,107,1.9
Food (all groups),2021,111,3.7
Food (all groups),2022,120,8.1
Food (all groups),2023,127,5.8
Food (all groups),2024,131,3.1
Food (all groups),2025,134,2.3
Fruit & vegetables,2014,100,
Fruit & vegetables,2015,103,3.0
Fruit & vegetables,2016,101,-1.9
Fruit & vegetables,2017,104,3.0
Fruit & vegetables,2018,106,1.9
Fruit & vegetables,2019,105,-0.9
Fruit & vegetables,2020,108,2.9
Fruit & vegetables,2021,112,3.7
Fruit & vegetables,2022,120,7.1
Fruit & vegetables,2023,124,3.3
Fruit & vegetables,2024,127,2.4
Fruit & vegetables,2025,130,2.4
Meat & seafood,2014,100,
Meat & seafood,2015,101,1.0
Meat & seafood,2016,102,1.0
Meat & seafood,2017,104,2.0
Meat & seafood,2018,105,1.0
Meat & seafood,2019,106,1.0
Meat & seafood,2020,108,1.9
Meat & seafood,2021,113,4.6
Meat & seafood,2022,121,7.1
Meat & seafood,2023,128,5.8
Meat & seafood,2024,132,3.1
Meat & seafood,2025,135,2.3
